movie_id,primary_title,genres,runtime_minutes,averagerating
tt0884726,Legends of Oz: Dorothy's Return,"Adventure,Animation,Family",88.0,5.5
tt0884732,The Wedding Ringer,Comedy,101.0,6.7
tt0887143,Hyenas,Horror,92.0,2.8
tt0887161,Repo,"Comedy,Drama",97.0,4.5
tt0887266,Rollerboy,Documentary,81.0,8.3
tt0887751,Honor,"Crime,Drama,Thriller",118.0,5.6
tt0889573,The Switch,"Comedy,Drama,Romance",101.0,6.1
tt0892062,Hamlet A.D.D.,"Animation,Comedy,Fantasy",95.0,7.1
tt0892077,Gun of the Black Sun,Fantasy,90.0,6.1
tt0892318,Letters to Juliet,"Adventure,Comedy,Drama",105.0,6.6
tt0892769,How to Train Your Dragon,"Action,Adventure,Animation",98.0,8.1
tt0892791,Shrek Forever After,"Adventure,Animation,Comedy",93.0,6.3
tt0893310,Blur,"Drama,Mystery,Thriller",90.0,7.0
tt0893412,From Prada to Nada,"Comedy,Drama,Romance",107.0,5.6
tt0896872,The Whistleblower,"Action,Biography,Crime",112.0,7.2
tt0899145,Don't Fade Away,Drama,89.0,5.4
tt0899154,The Key Man,"Crime,Drama,Thriller",80.0,5.6
tt0900387,Suite Française,"Drama,Romance,War",107.0,7.0
tt0901504,Psych:9,"Horror,Mystery,Thriller",98.0,4.5
tt0902247,Acts of Violence,"Crime,Drama,Thriller",,7.0
tt0903036,Westbrick Murders,"Action,Crime,Thriller",90.0,2.7
tt0903624,The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",169.0,7.9
tt0903657,Love & Mercy,"Biography,Drama,Music",121.0,7.4
tt0905372,The Thing,"Horror,Mystery,Sci-Fi",103.0,6.2
tt0906013,The Grind,"Crime,Thriller",85.0,2.8
tt0906327,The Unlikely's,Comedy,,7.1
tt0906778,Black Butterflies,"Biography,Drama",100.0,6.2
tt0907305,Prey,"Adventure,Drama,Horror",90.0,5.3
tt0907731,Eager to Die,"Drama,Thriller",109.0,5.0
tt0907852,Exposed,"Drama,Mystery,Thriller",82.0,6.6
tt0910885,A Merry Friggin' Christmas,Comedy,88.0,5.1
tt0910926,Movin' In,"Comedy,Romance",95.0,7.0
tt0914823,House Under Siege,"Action,Thriller",78.0,4.0
tt0914852,Monkeyman935,Horror,,6.8
tt0914863,Unthinkable,"Crime,Drama,Thriller",97.0,7.1
tt0915463,Jackboots on Whitehall,"Animation,Comedy,Sci-Fi",91.0,5.3
tt0918520,Gangster Kittens,"Drama,Thriller",,7.5
